specimen_id,e-type,m-type,me-type,upright_angle,soma_distance_from_pia,estimated_shrinkage_factor,estimated_slice_angle
313860745,Exc_3,,,,,,
313861411,Inh_10,,,,,,
313861539,Inh_9,,,,,,
313861608,Inh_8,,,,,,
313861677,Exc_3,,,,,,
313861794,Exc_3,,,,,,
313861828,Exc_3,,,,,,
313861934,Exc_3,,,,,,
313862022,Exc_3,Spiny_8,ME_Exc_6,150.3199554,492.1002752,2.97763625,-25.45310727
313862134,Inh_13,,,,,,
313862167,Inh_13,Aspiny_1,ME_Inh_15,119.6297049,408.4672732,2.030599392,-21.21326851
313862274,Inh_6,,,,,,
313862306,Inh_5,,,,,,
313862373,Inh_2,Aspiny_4,ME_Inh_7,249.1831456,926.6524277,1.61471427,-29.98569257
314529406,Exc_3,,,,,,
314617802,Exc_3,,,,,,
314642645,Exc_3,Spiny_3,ME_Exc_17,233.9146954,372.685943,2.251238181,24.77312525
314800874,Exc_3,,,,,,
314800921,Exc_1,,,,,,
314804042,Exc_3,Spiny_4,ME_Exc_16,238.3369087,492.3543309,2.874653604,-12.59536745
314822529,Exc_2,Spiny_16,ME_Exc_5,70.85457783,729.838719,2.300419443,-4.24161551
314831019,Exc_3,Spiny_8,ME_Exc_13,332.6970895,512.4715484,2.473288484,11.89938174
314857059,Exc_3,,,,,,
314900022,Exc_3,Spiny_7,ME_Exc_17,201.7100754,415.7992937,3.295644679,23.05685154
318331264,Inh_11,,,,,,
318522838,Inh_11,,,,,,
318543876,Inh_11,,,,,,
318553131,Inh_10,,,,,,
318556138,Inh_11,,,,,,
318733871,Exc_3,Spiny_5,ME_Exc_19,131.8098136,401.431631,3.62266885,-12.46366938
318808427,Exc_3,Spiny_5,ME_Exc_20,151.2193343,374.4886248,2.232142857,16.80752147
320207387,Exc_3,Spiny_12,ME_Exc_13,216.2902092,508.6168213,2.21528547,8.279642511
320247631,Inh_11,,,,,,
320421014,Inh_9,,,,,,
320455763,Inh_13,,,,,,
320466776,Inh_13,,,,,,
320466871,Inh_12,,,,,,
320639930,Exc_3,,,,,,
320654829,Exc_1,,,,,,
320668841,Exc_3,,,,,,
320668879,Exc_3,Spiny_9,ME_Exc_13,284.953652,497.0567343,3.935860058,8.896025826
320836481,Exc_3,,,,,,
320880293,Exc_3,,,,,,
321013314,Exc_3,,,,,,
321016044,Inh_11,,,,,,
321019600,Inh_10,,,,,,
321023397,Inh_11,,,,,,
321704734,Inh_10,,,,,,
321707833,Inh_12,,,,,,
321707905,Inh_12,,,,,,
321708130,Inh_11,Aspiny_4,ME_Inh_6,165.7685636,816.0585721,3.401360544,-10.1659316
321893798,Exc_3,,,,,,
321906005,Exc_3,Spiny_5,ME_Exc_18,143.5693924,503.1940993,2.210884354,-5.572197804
321923492,Exc_3,,,,,,
321923685,Inh_10,,,,,,
322197160,Inh_2,,,,,,
322197295,Inh_5,,,,,,
322229594,Inh_6,,,,,,
322246422,Inh_6,,,,,,
322274121,Exc_3,,,,,,
322297406,Exc_3,,,,,,
322500634,Inh_6,,,,,,
322507839,Inh_5,,,,,,
322515253,Inh_7,,,,,,
322520586,Inh_12,,,,,,
322536988,Inh_6,,,,,,
322723785,Exc_3,,,,,,
322761772,Exc_3,,,,,,
322762730,Exc_3,,,,,,
322781822,Exc_3,,,,,,
323452196,Inh_10,Aspiny_10,ME_Inh_11,132.3928369,990.8918948,2.417941123,-20.93682262
323452245,,Spiny_2,,137.9238664,217.8672588,3.280839895,13.51115413
323475862,Inh_5,Aspiny_9,ME_Inh_26,33.09252471,607.2395601,3.670987725,-4.124466762
323501938,Inh_4,,,,,,
323523338,Inh_9,,,,,,
323535089,Inh_3,,,,,,
323540736,Inh_13,,,,,,
323777372,Exc_3,,,,,,
323788096,Exc_3,,,,,,
323834998,Inh_6,,,,,,
323838579,Exc_3,,,,,,
323865917,Exc_3,Spiny_11,ME_Exc_17,181.0188573,564.8486359,3.13283208,-1.184022889
324025297,Exc_3,Spiny_4,ME_Exc_17,273.9453065,464.2912222,2.682115653,-6.427357123
324025371,Exc_3,Spiny_4,ME_Exc_17,217.8058894,390.4489739,1.839451139,25.37693353
