,El_reference,C,asc_amp_array_0,asc_amp_array_1,init_threshold,spike_cut_length,asc_tau_array_0,asc_tau_array_1,R_input,coeffs_th_inf,has_model
0,-0.07306357553061515,6.513121768981038e-11,-3.236185505663676e-11,-1.6614516840519915e-10,0.028429986995879442,33,0.03333333333333333,0.01,273332123.32680553,0.9402726440158676,True
1,-0.07215426318235417,6.481725334596567e-11,-2.1424011084802095e-11,-2.7215608869365307e-11,0.027489834698259857,43,0.3333333333333333,0.01,194102511.22443882,0.9986483507525715,False
2,-0.07149777404364724,5.852179802913564e-11,-2.211016598063302e-11,1.372162610349768e-10,0.02631830792172468,44,0.01,0.01,230238405.9101757,0.9919751474160609,False
3,-0.07207780842145425,7.226018363876205e-11,-4.3267366823666686e-11,6.397852030823236e-11,0.02705140598025135,56,0.3333333333333333,0.01,233234597.40992177,1.052380416558781,False
4,-0.07063009670271041,7.571256476401659e-11,-7.581590046122106e-11,2.3317545808986177e-10,0.02629793542750094,43,0.01,0.01,267962297.37156874,1.1435194792904209,False
5,-0.07208269510021419,7.79552458568141e-11,-1.0561180452652891e-10,4.178378533683129e-10,0.026733539753344117,41,0.01,0.01,273461573.025189,1.172045255197083,True
6,-0.07270011397799715,7.638835067678333e-11,-9.878933300945503e-11,2.9946891245362496e-10,0.028479367445180707,33,0.01,0.01,236721588.9803426,1.0617787669144272,True
7,-0.0727100706947817,5.2125817549732216e-11,-1.2526586388210539e-11,-3.316233551109201e-11,0.02885002968013486,54,0.3333333333333333,0.01,266114082.64199442,0.9366785946962691,True
8,-0.07224693612038999,6.653598998853934e-11,-8.27064581668113e-12,-4.1213294097377014e-11,0.02864740877801121,23,0.3333333333333333,0.01,136391681.9377187,0.9232870818963382,False
9,-0.07164972276348633,6.05890529558952e-11,-1.8095485654284476e-11,1.1497201629736685e-10,0.02670354200653508,45,0.01,0.01,213815724.8745851,0.9892418455826019,False
10,-0.07260928910904237,6.973640271978116e-11,-7.707824259912152e-12,-9.094069288965185e-11,0.028978867674221327,28,0.3333333333333333,0.01,127690719.5054267,0.9019972719861481,True
11,-0.071577427500832,5.973950512398324e-11,-1.9383951709738273e-11,1.2650602143084362e-10,0.026557732698034183,44,0.01,0.01,219127166.1336873,0.9920694166145242,False
12,-0.07143971354510999,5.5100262213570226e-11,-2.0456862996181668e-11,2.6498961632197457e-11,0.027248056622490566,33,0.3333333333333333,0.01,174316532.7159546,0.9919146578013801,False
13,-0.07203130725554802,6.491295607082936e-11,-9.266841711589434e-12,-1.2979170051782982e-11,0.02840636710545558,22,0.3333333333333333,0.01,143765942.74632767,0.9359275282040235,False
14,-0.07228427564016096,5.965822713534825e-11,-1.2995811205617939e-11,-3.0735057238607335e-11,0.028086081265540536,37,0.3333333333333333,0.01,194222681.59419394,0.9580131381222384,False
15,-0.0708488160936005,5.944315874993593e-11,-1.0542576629332546e-11,5.949784511274075e-11,0.026404240347172196,34,0.3333333333333333,0.01,211028268.9120246,1.0394556545457443,False
16,-0.07139726442503048,5.4068730660284566e-11,-1.7377285469355623e-11,3.02092854429181e-11,0.02733317589077597,29,0.3333333333333333,0.01,165712393.83605087,1.0012294976303127,True
17,-0.07177535442998867,7.424476018811433e-11,-8.078268583929888e-11,1.860037934730787e-10,0.028296783992246523,36,0.01,0.01,201091837.64090183,1.098276311172409,False
18,-0.07132733085335133,7.265708803117641e-11,-6.984007184858824e-11,2.521059636316101e-10,0.026013443209693964,58,0.01,0.01,285445396.7326659,1.099146796383418,False
19,-0.07131541428743994,7.390009251254282e-11,-5.184918008645726e-11,7.870564569318381e-11,0.02711056432785342,47,0.3333333333333333,0.01,215026677.3964632,1.1197992842315918,True
20,-0.07143809722343747,5.7490588277660424e-11,-2.333157580401174e-11,-6.354640587572821e-11,0.028427441023291474,47,0.3333333333333333,0.01,237030313.19695777,1.0091198835169135,True
21,-0.07176980943225379,4.473490680743132e-11,-5.406486441002611e-12,-5.604433363007021e-11,0.027946568539104828,69,0.3333333333333333,0.01,303163922.60417396,1.025115718077971,True
22,-0.07069236581434371,9.824040428507033e-11,-7.986755313436524e-11,3.476526710878816e-10,0.025203754241746482,61,0.01,0.01,286182475.58331573,1.0580897496039587,True
23,-0.07273407072714991,7.655756696938641e-11,-9.805307863693417e-11,2.9188134633900185e-10,0.028516103459625384,34,0.01,0.01,235416526.87014908,1.05926303017651,False
