,index,El_reference,C,init_threshold,spike_cut_length,R_input
0,313862167,-0.07518374,6.863046e-11,0.030574147,47.0,270667300.0
1,313862373,-0.07306354,6.1785944e-11,0.027940176,76.0,170246320.0
2,321708130,-0.07129649,8.3695606e-11,0.027169896,64.0,181520300.0
3,323452196,-0.06700276,4.1332802e-11,0.022953698,3.0,613896100.0
4,323475862,-0.06966638,3.986683e-11,0.029941969,24.0,254784460.0
5,324266189,-0.06944324,8.142098e-11,0.028532641,42.0,254596930.0
6,324493977,-0.072730705,7.4281144e-11,0.033944312,38.0,219100260.0
7,327962063,-0.07554355,5.868875e-11,0.027878243,67.0,297259100.0
8,333604946,-0.072490185,8.1235615e-11,0.026535273,62.0,208591330.0
9,333785962,-0.06701607,4.9716238e-11,0.023794217,3.0,194870300.0
10,341442651,-0.08615454,8.032565e-11,0.028577436,51.0,123424450.0
11,396608557,-0.06888611,5.511815e-11,0.027310738,35.0,217196690.0
12,466245544,-0.07186291,5.741097e-11,0.029378908,49.0,229450500.0
13,469992918,-0.076449364,5.7855953e-11,0.026146995,5.0,125600980.0
14,471077468,-0.07426978,4.786739e-11,0.024198867,-3.0,161135870.0
15,471077857,-0.07126746,5.2956386e-11,0.03045537,46.0,198002500.0
16,471087830,-0.07575246,8.047778e-11,0.024896711,52.0,176952210.0
17,473540161,-0.06903871,7.809522e-11,0.031064283,20.0,320033020.0
18,473543792,-0.068617865,5.338618e-11,0.025430596,39.0,195827520.0
19,473564515,-0.07117239,6.239454e-11,0.030806258,38.0,181864800.0
20,473943881,-0.070858724,6.9375776e-11,0.028274411,51.0,167252100.0
21,474626527,-0.06114745,3.7831283e-11,0.019454034,58.0,970032900.0
22,475057898,-0.06953349,1.2195935e-10,0.026509846,57.0,322588000.0
23,475068599,-0.0697242,6.034639e-11,0.026234208,50.0,154438800.0
24,475202388,-0.06845808,3.8806142e-11,0.03382249,28.0,609496450.0
